category,source,date,latitude,longitude,magnitude_value,magnitude_unit,location,binary_category
0,0,2026-02-19,0.1560406753316508,-0.09045879092522166,-0.08558739113591902,1,12,0
0,0,2026-02-18,0.31558468889036434,-0.250422905517794,-0.11157881085420547,1,11,0
0,0,2026-02-18,-0.0009765561015100732,-0.11033704633649664,-0.09906621288573672,1,12,0
0,0,2026-02-18,0.12124966346263143,-0.054797494021924166,-0.08573232470312137,1,13,0
0,0,2026-02-18,0.3345483010043982,-0.27276258284946603,-0.10534666746450481,1,11,0
0,0,2026-02-18,0.2461309281146667,-0.21011327478087868,-0.07911369180088114,1,8,0
0,0,2026-02-18,0.022417486495597595,-0.25906066858773974,-0.1070858702709329,1,6,0
0,0,2026-02-18,-0.023795120945576433,-0.1533798405741945,-0.09085331074427073,1,0,0
0,0,2026-02-18,0.0065871351194584345,-0.24285138274595625,-0.09032188766452882,1,6,0
0,0,2026-02-18,0.13861061598782917,-0.31411886739463263,-0.10481524438476289,1,6,0
0,0,2026-02-18,0.009855893531822998,-0.2317154248860716,-0.10520173389730247,1,6,0
0,0,2026-02-18,0.3860471971254314,-0.15690449227986822,-0.03843567060609084,1,26,0
0,0,2026-02-18,0.12682887550327268,-0.09874926946586528,-0.07578021975522731,1,12,0
0,0,2026-02-18,0.019941129370948354,-0.22091060614577845,-0.08650530372820052,1,24,0
0,0,2026-02-18,0.026906837464012665,-0.21132529583416268,-0.07036936657967324,1,24,0
0,0,2026-02-18,-0.029510838100242954,-0.2658328353583722,0.0006963925385411593,1,6,0
0,0,2026-02-18,0.3426624901906014,-0.20224202009482356,-0.07360621624719219,1,18,0
0,0,2026-02-18,0.1599487160022305,-0.08897744915195653,-0.10148177233910906,1,12,0
0,0,2026-02-18,0.290316873526294,-0.20471475607923892,-0.034135974779088064,1,8,0
0,0,2026-02-18,-0.004820674437727642,-0.2195367678663254,-0.06186659730380259,1,24,0
0,0,2026-02-18,0.3424169930778947,-0.2017117306232565,-0.010415180946971631,1,18,0
0,0,2026-02-18,0.5185225529288785,-0.18292528325433116,-0.07466906240667602,1,26,0
0,0,2026-02-18,0.13201335976490366,-0.05382598544980959,-0.10012905904522054,1,13,0
0,0,2026-02-18,0.17259897542979788,-0.034410875217601715,-0.11008116399311461,1,10,0
0,0,2026-02-17,0.343274548014984,-0.3622436009605249,0.48545086364130347,1,11,0
0,0,2026-02-17,0.2771593005308072,-0.4068098080669429,0.045963976694738916,1,20,0
0,0,2026-02-17,0.3434545615565911,-0.3590782291474567,0.04031156757384763,1,11,0
0,0,2026-02-17,-0.17726862188234643,-0.01695397648703238,-0.07466906240667602,1,1,0
0,0,2026-02-17,0.31399726461550626,-0.3298549856952752,-0.033169750997739125,1,11,0
0,0,2026-02-17,0.25507304998015534,-0.37890317721262845,0.44226066061500596,1,6,0
0,0,2026-02-17,0.18716537310878864,-0.11940851173543476,-0.10442875487222332,1,12,0
0,0,2026-02-17,0.33690849622428987,-0.34830444064998894,13.548264964399205,1,11,0
0,0,2026-02-17,-0.22060312238941576,-0.29813114353877335,-0.093800293277385,1,6,0
0,0,2026-02-17,-0.02321875947362724,-0.14699366270317107,-0.09858310099506225,1,0,0
0,0,2026-02-17,-0.0009765561015100732,-0.11033704633649664,-0.09906621288573672,1,12,0
0,0,2026-02-17,0.009115572745099675,-0.21212518269547112,-0.08950059745038222,1,24,0
0,0,2026-02-17,0.02114887854553274,-0.21856207759196483,-0.04635870561315213,1,24,0
0,0,2026-02-17,0.1353878698732868,-0.09620833438548806,-0.08230223027933263,1,12,0
0,0,2026-02-16,0.12408092210082686,-0.05506154072459567,-0.08563570232498648,1,13,0
0,0,2026-02-16,0.051642070790847906,-0.2641192120293125,-0.11331801366063356,1,6,0
0,0,2026-02-16,0.031469059304454934,-0.3214876476034919,-0.07225350295330368,1,6,0
0,0,2026-02-16,0.12505142220584772,-0.32405003219872586,-0.1032692863346046,1,6,0
0,0,2026-02-15,-0.19401018171622333,-0.016550498600187948,-0.09882465694039948,1,1,0
0,0,2026-02-15,-0.09940316500425887,-0.016622548593378583,-0.11331801366063356,1,1,0
0,0,2026-02-14,0.18790204119069126,-0.11876653413992842,-0.09708545413397139,1,12,0
0,0,2026-02-13,-0.23538132333572642,-0.008769161586293421,0.2785823520544958,1,1,0
0,0,2026-02-13,-0.019197491434211,-0.25795447181574,-0.09996480100239122,1,6,0
0,0,2026-02-13,0.10922831732475619,-0.12167502499712185,-0.043073544756565746,1,12,0
0,0,2026-02-13,0.10771061847175786,-0.12230029865583827,-0.06703589453401941,1,12,0
0,0,2026-02-13,0.12162477268187905,-0.10055051064970168,-0.11220685631208227,1,12,0
0,0,2026-02-13,0.27102316883419775,-0.22403168313019142,-0.1016267059063114,1,8,0
0,0,2026-02-13,0.15756267495000256,-0.08957979380427215,-0.09181953452561968,1,12,0
2,2,2026-02-13,-5.769638253193685,2.7910999942701347,-0.13475996870443852,0,35,0
0,0,2026-02-12,0.2693694597497627,-0.24470698607935754,-0.09892127931853438,1,11,0
0,0,2026-02-12,-0.0490639437492024,-0.07973783770607808,-0.10486355557383034,1,1,0
0,0,2026-02-12,-0.012771022138344822,-0.2549754493635852,-0.11331801366063356,1,6,0
0,0,2026-02-12,-0.013541035880384723,-0.25392445011090836,-0.11331801366063356,1,6,0
0,0,2026-02-12,0.22091448038500183,-0.25171432560478213,-0.0891624191269101,1,11,0
0,0,2026-02-12,0.13155719290166312,-0.3243000472486566,-0.07085247847034772,1,6,0
0,0,2026-02-12,0.29280306938812123,-0.20625200243598377,-0.044136390916049574,1,8,0
0,0,2026-02-12,0.24051047585830743,-0.22718379900335983,-0.11244841225741951,1,8,0
0,0,2026-02-12,0.11155161433449981,-0.12019221341575413,-0.026937607608038476,1,12,0
0,0,2026-02-12,0.11100376752598917,-0.12250579512044536,-0.10273786325486269,1,12,0
0,0,2026-02-12,0.13849726430919973,-0.09521405243371282,-0.019304439735381863,1,12,0
0,0,2026-02-12,0.4037569240464118,-0.18496226436596847,-0.07664982115844135,1,18,0
0,0,2026-02-12,0.21506985809892132,-0.24275684814716753,-0.05780845742213705,1,8,0
0,0,2026-02-12,0.2698145948552986,-0.23393799953142036,-0.11022609756031695,1,8,0
0,0,2026-02-11,-0.19199727035288885,-0.02624354757491202,-0.07872720228834157,1,1,0
0,0,2026-02-11,0.33888868053072296,-0.35408280445336887,-0.041672520273609785,1,11,0
0,0,2026-02-11,-0.013051455605224008,-0.2530906366202195,-0.11331801366063356,1,6,0
0,0,2026-02-11,-0.2809910341718666,-0.012760700429544681,-0.011864516618995038,1,1,0
0,0,2026-02-11,0.16050840464411129,-0.08900338694200273,-0.0780508456413973,1,12,0
0,0,2026-02-11,0.27355355064143677,-0.23144983920785756,0.01634921779639396,1,8,0
0,0,2026-02-11,0.29180741275151256,-0.2039271118548324,-0.11235178987928461,1,8,0
0,0,2026-02-11,0.25958519500494354,-0.2147973457016226,-0.0976168772137133,1,8,0
0,0,2026-02-11,0.32247440304878006,-0.23228086870908138,-0.09969425834361352,1,18,0
0,0,2026-02-11,0.3246346244626576,-0.2161850174691003,-0.09418678278992458,1,18,0
0,0,2026-02-11,0.2713463742962352,-0.23412820999175993,-0.07206025819703389,1,8,0
0,0,2026-02-10,0.23835747737364005,-0.2607163659148823,-0.09500807300407117,1,11,0
0,0,2026-02-10,0.12274903987693261,-0.05431736823630685,-0.0780508456413973,1,13,0
0,0,2026-02-10,0.24624816815649217,-0.40910851877200755,0.025141854206669298,1,20,0
0,0,2026-02-10,0.17565923509441322,-0.11952929537775044,-0.10621626886771886,1,12,0
0,0,2026-02-10,0.23204050143964972,-0.27399267389648263,-0.11268996820275674,1,11,0
0,0,2026-02-10,0.2922364877387565,-0.2082317301990589,-0.07162545749542687,1,8,0
0,0,2026-02-10,0.1337088039476449,-0.09639470605290089,-0.10153008352817651,1,12,0
0,0,2026-02-10,0.13472537526508166,-0.09719829337225569,-0.10694093670373056,1,12,0
0,0,2026-02-10,0.02111547397080154,-0.22257321848774714,-0.0022505899945731026,1,24,0
0,0,2026-02-09,0.2400232521669021,-0.3971994418501425,-0.008289488628003966,1,20,0
0,0,2026-02-09,0.18670966872511024,-0.12184697525326896,-0.08636037016099818,1,12,0
0,0,2026-02-09,0.2036796640053059,-0.22840460432153972,-0.10409057654875119,1,8,0
0,0,2026-02-09,0.2125083693861123,-0.2649768882868439,-0.1101777863712495,1,11,0
0,0,2026-02-09,-0.005728960731609014,-0.2214359847290966,-0.08766477226581924,1,24,0
0,0,2026-02-09,0.029849798172208813,-0.20930406760701353,-0.040657985303193395,1,24,0
0,0,2026-02-09,0.04033736177295549,-0.23532364815127466,-0.039160338442102545,1,6,0
0,0,2026-02-09,0.21467707450150886,-0.22921635339882937,-0.11003285280404716,1,8,0
0,0,2026-02-08,0.08324975040863176,-0.15997379743534873,-0.10061217093589502,1,0,0
0,0,2026-02-08,-0.005372527438621985,-0.22058897754920404,-0.06940314279832431,1,24,0
0,0,2026-02-08,0.15885549679815317,-0.0909247028018936,-0.10075710450309736,1,12,0
0,0,2026-02-08,0.03350886576904252,-0.20932191280656556,-0.06379904486650047,1,24,0
0,0,2026-02-08,0.020242536433249386,-0.21975205152370958,-0.049160754579064055,1,24,0
0,0,2026-02-08,0.047958907125116114,-0.21502070465764145,-0.05877468120348599,1,24,0
0,0,2026-02-08,0.22192685109189508,-0.2602600527497135,-0.09785843315905055,1,11,0
0,0,2026-02-07,0.19376239956479785,-0.27014042963171003,-0.09529794013847585,1,11,0
0,0,2026-02-07,-0.28100740064604707,-0.006843040318499961,0.06867023555643896,1,1,0
0,0,2026-02-07,-0.029574524776229533,-0.3354360995220969,-0.10824533880855162,1,6,0
0,0,2026-02-07,-0.07497387516345407,-0.24645291406132727,-0.10462199962849311,1,6,0
0,0,2026-02-07,0.011300891775970922,-0.25695308481159645,-0.007178331279452687,1,6,0
0,0,2026-02-07,0.05890034875713105,-0.21596311102932406,-0.08167418482145583,1,24,0
0,0,2026-02-07,0.2288630606478026,-0.26641730022741583,-0.09785843315905055,1,11,0
0,0,2026-02-07,0.02217004520129243,-0.22196338646003838,0.006783602361039471,1,24,0
0,0,2026-02-07,0.3308072832074743,-0.30834105174321563,-0.01669563552573973,1,11,0
0,0,2026-02-07,0.002224509442483782,-0.21105741033856443,-0.05824325812374408,1,24,0
0,0,2026-02-07,0.0352841392264939,-0.20883908949078334,-0.06916158685298708,1,24,0
0,0,2026-02-07,0.1088668173766953,-0.12200981269917971,-0.01587434531159313,1,12,0
0,0,2026-02-07,0.0009323356548661156,-0.21092253383032353,-0.03263832791799721,1,24,0
0,0,2026-02-07,0.0034549407357128865,-0.10795483323934289,-0.10930818496803546,1,12,0
0,0,2026-02-06,-0.12624203581242333,-0.2606731364377236,-0.10607133530051652,1,6,0
0,0,2026-02-06,0.11313612233696053,-0.12129738806590754,-0.03862891536236063,1,12,0
0,0,2026-02-06,0.01932152458708957,-0.1836310851052115,-0.10897000664456333,1,0,0
0,0,2026-02-06,-0.027086502561991563,-0.14768331395678258,-0.05408849586394364,1,0,0
0,0,2026-02-06,0.2562446197026371,-0.25298306395896747,-0.11331801366063356,1,11,0
0,0,2026-02-06,0.036291460952691285,-0.2096232061757434,-0.054474985376483216,1,24,0
0,0,2026-02-06,0.004710705304311411,-0.2128713264558034,-0.10819702761948419,1,24,0
0,0,2026-02-06,0.02221423114670406,-0.14625097731484507,-0.04751817415077086,1,0,0
0,0,2026-02-06,-0.004197181290672613,-0.10686012016450805,-0.11191698917767759,1,12,0
0,0,2026-02-06,0.05708053586670459,-0.21626187978693762,-0.08225391909026519,1,24,0
0,0,2026-02-06,0.022479346819173834,-0.2198508917956462,-0.006067173930901408,1,24,0
0,0,2026-02-06,0.015466271392628128,-0.2541176347711734,0.043451794863231676,1,6,0
0,0,2026-02-06,0.10753434600686204,-0.12308334324547665,-0.02998121251928763,1,12,0
0,0,2026-02-06,-0.05534488751757424,-0.07384420117617425,0.11335808544382736,1,1,0
0,0,2026-02-05,0.14384865361529908,-0.09481058146361224,-0.09979088072174842,1,12,0
0,0,2026-02-05,0.15563811191165391,-0.09061152992487431,-0.07655319878030645,1,12,0
0,0,2026-02-05,0.1353878698732868,-0.09620833438548806,-0.08896917437064031,1,12,0
0,0,2026-02-05,0.15768050413776705,-0.09021381714416422,-0.09360704852111522,1,12,0
0,0,2026-02-05,0.16107787310857608,-0.09093431707607082,-0.06500682459318664,1,12,0
0,0,2026-02-05,0.1421466699126371,-0.09550225586484741,-0.10520173389730247,1,12,0
0,0,2026-02-05,-0.027086502561991563,-0.14768331395678258,-0.09123980025681032,1,0,0
0,0,2026-02-05,0.26528406258576004,-0.3269789274507556,-0.11124063253073334,1,11,0
0,0,2026-02-05,0.016658584943615426,-0.18507120308416292,-0.09867972337319714,1,0,0
0,0,2026-02-05,-0.03543470051509502,-0.25550584258631215,-0.04341172308003787,1,6,0
0,0,2026-02-05,-0.00046287975745126986,-0.10663145260745985,-0.09858310099506225,1,12,0
0,0,2026-02-04,0.37672873472568247,-0.44557246923421806,-0.09669896462143182,1,25,0
0,0,2026-02-04,0.11092193515508708,-0.12185792100066839,-0.00761313198105971,1,12,0
0,0,2026-02-03,-0.2061858664156915,-0.015157547627842665,0.009730584894153732,1,1,0
0,0,2026-02-03,-0.023976118360901133,-0.1560333664136046,-0.10848689475388887,1,0,0
0,0,2026-02-02,-0.061403251950259426,-0.08691876329760842,-0.10607133530051652,1,1,0
0,0,2026-02-02,0.14078967062993286,-0.3089933179954404,-0.10180062618695421,1,6,0
0,0,2026-02-02,0.13669706997853634,-0.09548783445358146,-0.06553824767292855,1,12,0
0,0,2026-02-02,0.15893732916905526,-0.08983917170473531,-0.10689262551466311,1,12,0
0,0,2026-02-02,0.9200648062699844,-0.5422893353426372,-0.09157797858028244,1,33,0
0,0,2026-02-02,0.027381041030170233,-0.1488568606214982,-0.07148052392822453,1,0,0
0,0,2026-02-02,-0.027292703640579095,-0.1475095307634724,-0.10409057654875119,1,0,0
0,0,2026-02-02,0.18726982868374173,-0.12147243356499998,-0.01495643271931164,1,12,0
0,0,2026-02-02,0.037337607396256946,-0.21064166214784194,-0.01766185930708867,1,24,0
0,0,2026-02-02,0.17666213822606952,-0.12141267289673327,-0.1039939541706163,1,12,0
0,0,2026-02-02,0.10751272435090746,-0.12128787754289048,-0.09495976181500372,1,12,0
0,0,2026-02-02,-0.03132440604371776,-0.26482701973595624,-0.007371576035722475,1,6,0
0,0,2026-02-02,-0.005846789919373497,-0.21882491386443428,-0.08901748555970776,1,24,0
0,0,2026-02-02,0.048652508638890986,-0.21417724230905513,-0.05635912175011364,1,24,0
0,0,2026-02-02,0.0244569329920165,-0.2202278543443193,0.011904588402188844,1,24,0
0,0,2026-02-02,-0.0433164716284334,-0.07383266750553377,-0.01640576839133505,1,1,0
0,0,2026-02-01,0.1403628538390726,-0.09500271132041531,-0.08742321632048201,1,12,0
0,0,2026-02-01,0.1550808387681225,-0.091228468907056,-0.06230139800540961,1,12,0
0,0,2026-02-01,-0.02988394422329861,-0.2661296847195223,-0.10592640173331418,1,6,0
0,0,2026-02-01,0.08362680380947761,-0.15960202244468483,-0.10191657304071608,1,0,0
0,0,2026-02-01,0.12682887550327268,-0.09874926946586528,-0.09790674434811798,1,12,0
0,0,2026-02-01,0.15909445439093917,-0.08952214274292905,-0.11230347869021717,1,12,0
0,0,2026-02-01,0.09913901637865297,-0.11508528734981506,-0.10215812898605332,1,12,0
0,0,2026-01-31,0.0002419155291610057,-0.15173635302941982,-0.10607133530051652,1,0,0
0,0,2026-01-31,0.10631481391350125,-0.12089868964917572,-0.1031726639564697,1,12,0
0,0,2026-01-31,0.014872294457108057,-0.2575002684304135,-0.044329635672319366,1,6,0
