event_id,title,category,source,date,latitude,longitude,magnitude_value,magnitude_unit,closed
EONET_19013,"RX SOUTH LONE PINE Prescribed Fire, Pittsburg, Oklahoma",Wildfires,IRWIN,2026-03-24T08:14:00Z,34.6885,-95.6025,1369,acres,
EONET_19004,"Bald Mountain RX Prescribed Fire, Craig, Virginia",Wildfires,IRWIN,2026-03-24T07:47:00Z,37.598086,-80.063054,1193,acres,
EONET_19215,"Compartment 119_120 RX Prescribed Fire, Jasper, Georgia",Wildfires,IRWIN,2026-03-24T07:24:00Z,33.169817,-83.674067,2245,acres,
EONET_18750,"90 Degrees Wildfire, Latimer, Oklahoma",Wildfires,IRWIN,2026-03-24T02:44:00Z,35.0336111,-95.2988889,600,acres,
EONET_18972,"Old Kentucky Wildfire, Sequoyah, Oklahoma",Wildfires,IRWIN,2026-03-23T20:23:00Z,35.6228333,-94.7365,712,acres,
EONET_18758,"Luna Branch Wildfire, Adair, Oklahoma",Wildfires,IRWIN,2026-03-23T19:31:00Z,36.1103333,-94.7343333,1250,acres,
EONET_18768,"Oxbow Wildfire, Okfuskee, Oklahoma",Wildfires,IRWIN,2026-03-23T17:32:00Z,35.5188889,-96.4380556,2068,acres,
EONET_18772,"Polk Treat Mountain Wildfire, Floyd, Georgia",Wildfires,IRWIN,2026-03-23T17:17:00Z,34.2797222,-85.4469444,500,acres,
EONET_19009,"Big Hollow RX Prescribed Fire, Shannon, Missouri",Wildfires,IRWIN,2026-03-23T16:22:00Z,37.024717,-91.245283,659,acres,
EONET_18780,"MIDDLE CREEK Wildfire, Hughes, Oklahoma",Wildfires,IRWIN,2026-03-23T14:21:00Z,35.207222,-95.987222,2026,acres,
EONET_18781,"SALTSMAN Wildfire, McIntosh, Oklahoma",Wildfires,IRWIN,2026-03-23T14:05:00Z,35.203333,-95.803611,680,acres,
EONET_18763,"Bienville CPT 65 66 RX Prescribed Fire, Scott, Mississippi",Wildfires,IRWIN,2026-03-23T10:37:00Z,32.3396,-89.3958,1777,acres,
EONET_18786,"Barbed Wire Wildfire, Sequoyah, Oklahoma",Wildfires,IRWIN,2026-03-23T10:31:00Z,35.6081667,-94.7688333,600,acres,
EONET_18760,"DeSoto BB 0250 C-597 RX Prescribed Fire, Harrison, Mississippi",Wildfires,IRWIN,2026-03-23T10:25:00Z,30.671033,-89.0925,802,acres,
EONET_18767,"Indian Creek RX Prescribed Fire, Washington, Missouri",Wildfires,IRWIN,2026-03-23T10:16:00Z,37.99645,-90.96295,1469,acres,
EONET_18757,"RX FY26 North River Road RX BIL Prescribed Fire, Newton, Arkansas",Wildfires,IRWIN,2026-03-23T09:37:00Z,36.059167,-93.163889,700,acres,
EONET_18779,"Chickasawhay CPT 373 377 378 RX Prescribed Fire, Wayne, Mississippi",Wildfires,IRWIN,2026-03-23T09:32:00Z,31.529,-88.913,1600,acres,
EONET_18788,"NAN Split White Oak RX Prescribed Fire, Macon, North Carolina",Wildfires,IRWIN,2026-03-23T08:50:00Z,35.2159,-83.5877,1025,acres,
EONET_18789,"Sonny Glle Wildfire, Adair, Oklahoma",Wildfires,IRWIN,2026-03-23T08:34:00Z,35.6419444,-94.6327778,560,acres,
EONET_18790,"Pumpkin Hollow Wildfire, Cherokee, Oklahoma",Wildfires,IRWIN,2026-03-23T08:23:00Z,36.0330556,-94.8066667,1126.4,acres,
EONET_19196,"C-27/40 EN RX Prescribed Fire, Union, South Carolina",Wildfires,IRWIN,2026-03-23T07:53:00Z,34.636389,-81.650833,1132,acres,
EONET_19360,"C-148 FM RX Prescribed Fire, Berkeley, South Carolina",Wildfires,IRWIN,2026-03-23T07:12:00Z,33.17875,-79.537472,1162,acres,
EONET_18769,"Cross Timber Wildfire, Pottawatomie, Oklahoma",Wildfires,IRWIN,2026-03-22T20:49:00Z,35.015,-96.9775,857,acres,
EONET_18756,"Dennison Hollow/Stoneface RX Prescribed Fire, Pope, Illinois",Wildfires,IRWIN,2026-03-22T17:36:00Z,37.384629,-88.701897,1382,acres,
EONET_19216,"Compartment 117 RX Prescribed Fire, Jasper, Georgia",Wildfires,IRWIN,2026-03-22T16:48:00Z,33.161772,-83.789,1203,acres,
EONET_18771,"Jumping Juniper Wildfire, Dewey, Oklahoma",Wildfires,IRWIN,2026-03-22T16:04:00Z,36.0866667,-99.2852778,623,acres,
EONET_18751,"Tippah - CR 250 Wildfire, Tippah, Mississippi",Wildfires,IRWIN,2026-03-22T15:05:00Z,34.8483333,-88.7819444,802,acres,
EONET_18752,"BAKER RD Wildfire, Calhoun, Florida",Wildfires,IRWIN,2026-03-22T13:50:00Z,30.5072222,-85.3222222,500,acres,
EONET_19217,"6D/7S/8A RX Prescribed Fire, Jones, Georgia",Wildfires,IRWIN,2026-03-22T09:33:00Z,33.1396,-83.7338,809,acres,
EONET_18785,"Compartment 153 RX Prescribed Fire, Putnam, Georgia",Wildfires,IRWIN,2026-03-22T09:18:00Z,33.320013,-83.461761,920,acres,
EONET_18797,"Pound Gap RX Prescribed Fire, Wise, Virginia",Wildfires,IRWIN,2026-03-22T08:50:00Z,36.892,-82.462667,1513,acres,
EONET_18787,"North River RX Prescribed Fire, Augusta, Virginia",Wildfires,IRWIN,2026-03-22T08:46:00Z,38.416361,-79.283194,1513,acres,
EONET_18791,"RX East End Bear Mountain Prescribed Fire, Garland, Arkansas",Wildfires,IRWIN,2026-03-22T08:15:00Z,34.555278,-93.309722,3577,acres,
EONET_18798,"CRO C-35/C-36 Old Church Rd RX Prescribed Fire, Carteret, North Carolina",Wildfires,IRWIN,2026-03-22T07:18:00Z,34.778333,-77.1,924,acres,
EONET_18770,"Sunshine Hollow Wildfire, Pushmataha, Oklahoma",Wildfires,IRWIN,2026-03-22T00:08:00Z,34.3602778,-95.5191667,1600,acres,
EONET_18778,"KANE Wildfire, Big Horn, Wyoming",Wildfires,IRWIN,2026-03-21T23:05:00Z,44.860117,-108.222067,1915,acres,
EONET_18793,"Grey Road Wildfire, Butler, Kansas",Wildfires,IRWIN,2026-03-21T18:48:00Z,37.6749,-96.5991,1557,acres,
EONET_19218,"Compartment 157 RX Prescribed Fire, Putnam, Georgia",Wildfires,IRWIN,2026-03-21T16:48:00Z,33.41174,-83.414038,1293,acres,
